NCT Number,Study Title,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Phases,Start Date,Completion Date,Locations
NCT05440812,Improving Personal Recovery After Depression with a Blended Module (STAIRS),ACTIVE_NOT_RECRUITING,"Almost all mental healthcare treatments of depression focus on symptomatic recovery. However, such recovery does not inherently mean that personal recovery is reached. In fact, many persons still experience functional impairments after symptomatic recovery. As this has a negative influence on daily life, a new blended module (STAIRS) was developed to promote personal recovery in persons that are in the final stage of symptomatic recovery from depression. The current study will investigate the efficacy of STAIRS, by adding STAIRS to care as usual and comparing it with care as usual. It is hypothesized that STAIRS will have a positive effect on personal recovery and that this effect is larger than in the control group.",Depression,BEHAVIORAL: Storytelling and Training to Advance Individual Recovery Skills (STAIRS),University Medical Center Groningen,NA,2022-10-11,2025-05,"GGZ Drenthe, Assen, Drenthe, 9401PJ, Netherlands|University Medical Center Groningen, Groningen, Provincie Groningen, 9713GZ, Netherlands"
NCT02232854,Training and Supervision Program for Depression Management,COMPLETED,"According to the literature the management of depressive disorders at primary care level is not always consistent with guidelines. The main objective of this study is to test whether a Comprehensive Technology-Assisted Training and Supervision Program will improve depression management in Primary Health Care clinics in Santiago, Chile.",Depression,BEHAVIORAL: Depression training/supervision program,University of Chile,NA,2014-04,2016-06,"CESFAM Garín, Quinta Normal, Santiago Metropolitan, Chile|CESFAM Lo Franco, Quinta Normal, Santiago Metropolitan, Chile|CESFAM Barros Luco, San Miguel, Santiago Metropolitan, Chile|CESFAM Recreo, San Miguel, Santiago Metropolitan, Chile"
NCT01571973,Evaluation of Pharmaceutical Care in Depressed Outpatients,UNKNOWN,The study examines whether pharmacotherapeutic follow-up improves outcomes of treatment of depressed outpatients.,Depression,PROCEDURE: pharmacotherapeutic follow-up,Federal University of São Paulo,NA,2010-03,2012-05,
NCT02207582,Prefrontal Transcranial Random Noise Stimulation in Patients With Depression,TERMINATED,Transcranial random noise stimulation is used to stimulate the prefrontal cortices in patients with depression. It's a placebo-controlled two-arm study.,Depression,DEVICE: Verum Prefrontal tRNS|DEVICE: Placebo Prefrontal tRNS,University of Regensburg,NA,2014-07,2016-12-06,"University of Regensburg, Regensburg, 93053, Germany"
NCT00770068,Examining the Link Between Depression and Seasonal Allergies,COMPLETED,This study will examine whether spring and fall seasonal depression in individuals with high sensitivity to pollen is linked to seasonal increases in tree and ragweed pollen.,Depression,,"University of Maryland, Baltimore",,2006-07-15,2017-04-11,"National Center for the Treatment of Phobias, Anxiety, and Depression, Washington D.C., District of Columbia, 20037, United States|University of Maryland, Baltimore, Maryland, 21201, United States"
NCT01453114,Cognitive-Behavioral Therapy (CBT) in Women Discontinuing Antidepressant for Pregnancy,COMPLETED,The overarching goal of this study is to adapt a cognitive behavioral prevention of recurrence treatment (CBT-PR) for women with a history of recurrent major depressive disorder who decide to discontinue their maintenance anti-depressant (AD) treatment for pregnancy.,Depression|Postpartum Depression|Antenatal Depression,BEHAVIORAL: Cognitive Behavioral Therapy,Massachusetts General Hospital,NA,2008-11,2012-07,"Massachusetts General Hospital, Boston, Massachusetts, 02114, United States"
NCT01014312,Treatment for Depressed Primary Care Patients,COMPLETED,"This research study develop a collaborative depression care management model (C-DCM) that encourages collaboration between primary care physicians (PCPs) and trained social workers employed by community-based, public and nonprofit mental health clinics.",Depression,BEHAVIORAL: Depression Care Management (DCM)|BEHAVIORAL: Enhanced Care,Weill Medical College of Cornell University,NA,2009-09-01,2015-04-30,"Westchester Medical Group Practices, White Plains, New York, 10605, United States"
NCT01192685,Transcranial Magnetic Stimulation in Major Depression With EEG and Near Infrared Spectroscopy (NIRS) Monitoring,TERMINATED,"This a 12- week study (1-4 week screening, 6 weeks treatment, 2 weeks follow-up) outpatient open label clinical trial. Twenty-five subjects diagnosed with depression with a Montgomery Asberg Depression Rating Scale (MADRAS) score of 26 or higher, will be enrolled into this trial, up to fifty subjects will be consented. The primary purpose of the current study is to determine: 1) if changes in electrical activity of the brain measured by EEG in specific areas is associated with changes in the blood flow of the brain 2) Which areas of the brain show changes in electrical activity and treatment response.",Depression,PROCEDURE: Transcranial Magnetic Stimulation (TMS)|DEVICE: near infrared spectroscopy (NIRS),Boston University,EARLY_PHASE1,2012-12,2013-12,"Boston Medical Center, Boston, Massachusetts, 02118, United States"
NCT06234696,Cognitive Behavioral Therapy by Humor Based Psychoeducation,UNKNOWN,"This study aims to reveal the effectiveness of based cognitive behavioral therapy by humor based psychoeducation on sense of humour, self-esteem and depressıon level patient in diagnosed with deppression .",Depression,OTHER: entrepreneurial intervention,University of Gaziantep,NA,2022-12-30,2024-07-01,"Fatima, Mardin, 47000, Turkey (Türkiye)"
NCT01694719,Cognitive Control Training as an Adjunct to Behavioral Activation Therapy in the Treatment of Depression,UNKNOWN,"The purpose of this study is to evaluate the potential effects of a cognitive training program when combined with a particular form of psychotherapy (behavioral activation therapy) for depression. Behavioral activation therapy targets changes in behavior as a method for improving a depressed individual's thoughts, feelings, and overall quality of life. This study is designed to test whether a computerized brain exercise called cognitive control training can enhance the effects of a 5-session behavioral activation therapy program. CCT has been shown to reduce depressive symptoms in two other studies, but it has not yet been combined with behavioral activation therapy. The investigators hypothesize that individuals assigned to the behavioral activation plus cognitive control training condition will demonstrate reduced depressive symptoms from pre to post treatment compared with those assigned to the behavioral activation plus computerized control condition. The investigators hypothesize that these gains will be maintained at one-month follow up.",Depression,BEHAVIORAL: Brief Behavioral Activation Treatment for Depression|BEHAVIORAL: Cognitive Control Training,Boston University,NA,2012-09,2013-10,"Boston University - Translational Research Program, Boston, Massachusetts, 02215, United States"
